ckpt,method,setting,seed,eval_sub,eer,auc,acc,acc_median_rule,n,attainable,deficit,smoke,adapt_min,pi_fake_hat,pi_fake_true,lo_frac,hi_frac,q,conf_tau,skew_target
ssl_aasist_wavefake,ours_fixed,disjoint_eval,0,0,4.86,0.9888,97.777,62.0,5129,95.14,-2.637,False,8.9,,,,,0.02,,0.9
ssl_aasist_wavefake,ours_fixed,official_eval,0,0,5.255,0.9853,95.925,60.088,13129,94.745,-1.18,False,9.1,,,,,0.1,,0.9
ssl_aasist_wavefake,ours_fixed,disjoint_eval,0,0,4.986,0.9883,96.237,60.811,5129,95.014,-1.223,False,9.1,,,,,0.1,,0.9
ssl_aasist_wavefake,ours_fixed,official_eval,0,0,6.017,0.9785,73.273,59.829,13129,93.983,20.71,False,9.2,,,,,0.3,,0.9
ssl_aasist_wavefake,ours_fixed,disjoint_eval,0,0,5.952,0.9826,73.582,60.421,5129,94.048,20.466,False,9.2,,,,,0.3,,0.9
ssl_aasist_wavefake,ours_bbse,official_eval,0,0,5.023,0.9862,97.745,60.682,13129,94.977,-2.768,False,9.2,0.9531,0.903,0.0281,0.5719,0.3,,0.9
ssl_aasist_wavefake,ours_bbse,disjoint_eval,0,0,4.827,0.9889,97.777,61.026,5129,95.173,-2.605,False,9.2,0.9531,0.903,0.0281,0.5719,0.3,,0.9
ssl_aasist_wavefake,source,official_eval,0,0,4.667,0.9894,98.296,55.347,12438,95.333,-2.963,False,,,,,,0.3,,0.95
ssl_aasist_wavefake,source,disjoint_eval,0,0,3.401,0.9943,98.603,54.912,4438,96.599,-2.004,False,,,,,,0.3,,0.95
ssl_aasist_wavefake,ours_fixed,official_eval,0,0,4.54,0.9899,98.601,55.925,12438,95.46,-3.141,False,9.1,,,,,0.02,,0.95
ssl_aasist_wavefake,ours_fixed,disjoint_eval,0,0,3.711,0.9947,98.851,55.498,4438,96.289,-2.562,False,9.1,,,,,0.02,,0.95
ssl_aasist_wavefake,ours_fixed,official_eval,0,0,4.963,0.9889,92.635,55.242,12438,95.037,2.401,False,9.2,,,,,0.1,,0.95
ssl_aasist_wavefake,ours_fixed,disjoint_eval,0,0,3.841,0.9941,92.835,55.002,4438,96.159,3.324,False,9.2,,,,,0.1,,0.95
ssl_aasist_wavefake,ours_fixed,official_eval,0,0,5.716,0.9819,68.476,55.001,12438,94.284,25.808,False,9.2,,,,,0.3,,0.95
ssl_aasist_wavefake,ours_fixed,disjoint_eval,0,0,3.947,0.988,68.251,54.709,4438,96.053,27.801,False,9.2,,,,,0.3,,0.95
ssl_aasist_wavefake,ours_bbse,official_eval,0,0,4.591,0.9901,98.698,55.909,12438,95.409,-3.288,False,9.2,0.9827,0.9484,0.0104,0.5896,0.3,,0.95
ssl_aasist_wavefake,ours_bbse,disjoint_eval,0,0,3.723,0.9947,98.963,55.318,4438,96.277,-2.686,False,9.2,0.9827,0.9484,0.0104,0.5896,0.3,,0.95
ssl_aasist_wavefake,source,official_eval,0,0,3.784,0.9899,98.941,54.544,12181,96.216,-2.725,False,,,,,,0.3,,0.97
ssl_aasist_wavefake,source,disjoint_eval,0,0,4.847,0.9891,99.115,55.13,4181,95.153,-3.962,False,,,,,,0.3,,0.97
ssl_aasist_wavefake,ours_fixed,official_eval,0,0,3.877,0.99,98.588,54.7,12181,96.123,-2.465,False,9.0,,,,,0.02,,0.97
ssl_aasist_wavefake,ours_fixed,disjoint_eval,0,0,4.81,0.9892,98.637,53.169,4181,95.19,-3.447,False,9.0,,,,,0.02,,0.97
ssl_aasist_wavefake,ours_fixed,official_eval,0,0,4.665,0.9886,89.393,53.116,12181,95.335,5.942,False,9.1,,,,,0.1,,0.97
ssl_aasist_wavefake,ours_fixed,disjoint_eval,0,0,6.393,0.9877,89.165,53.169,4181,93.607,4.442,False,9.1,,,,,0.1,,0.97
ssl_aasist_wavefake,ours_fixed,official_eval,0,0,5.205,0.9813,65.422,53.033,12181,94.795,29.373,False,9.2,,,,,0.3,,0.97
ssl_aasist_wavefake,ours_fixed,disjoint_eval,0,0,6.467,0.9806,65.869,52.978,4181,93.533,27.663,False,9.2,,,,,0.3,,0.97
ssl_aasist_wavefake,ours_bbse,official_eval,0,0,3.839,0.9905,98.908,54.552,12181,96.161,-2.747,False,9.2,0.9982,0.9699,0.0011,0.5989,0.3,,0.97
ssl_aasist_wavefake,ours_bbse,disjoint_eval,0,0,4.835,0.9899,98.924,53.36,4181,95.165,-3.759,False,9.2,0.9982,0.9699,0.0011,0.5989,0.3,,0.97
