corpus,ckpt,arm,seed,eval_sub,q,skew,setting,n,prior,eer,legacy_eer,auc,accuracy,balanced_accuracy,fpr,fnr,oracle_accuracy,threshold_gap,threshold,exact_one_pct,near_one_pct,largest_tie_pct,n_unique
df2021,deepfense_w2v2_aasist_s2,ours_fixed,0,0,0.1,0,disjoint_eval,380435,0.9722659587,5.619268408,5.620778743,0.9880533847,88.15408677,92.55920313,2.776987963,12.10460577,98.8497378,10.69565103,0.5,0,0,1.874696072,5758
df2021,deepfense_w2v2_aasist_s2,ours_fixed,1,50000,0.3,0,available_pool,50000,0.9723,6.069094852,6.068590944,0.9841696138,64.926,81.858168,0.2166064982,36.06705749,98.322,33.396,0.5,0,0,0.298,4112
df2021,deepfense_w2v2_aasist_s2,ours_fixed,1,50000,0.3,0,disjoint_eval,30000,0.9719333333,6.045793671,6.046543209,0.9843669123,64.99666667,81.93526742,0.1187648456,36.01070032,98.26333333,33.26666667,0.5,0,0,0.3233333333,3471
df2021,deepfense_w2v2_aasist_s2,ours_fixed,2,50000,0.3,0,available_pool,50000,0.9723,6.27173719,6.267401238,0.984420684,62.186,80.55435565,0,38.8912887,98.272,36.086,0.5,0,0,0.272,4209
df2021,deepfense_w2v2_aasist_s2,ours_fixed,2,50000,0.3,0,disjoint_eval,30000,0.9720333333,6.67115903,6.634935251,0.9825883624,62.12333333,80.51678612,0,38.96642776,98.25,36.12666667,0.5,0,0,0.2766666667,3535
df2021,deepfense_w2v2_aasist_s2,sar,0,0,0.3,0,available_pool,400435,0.9721902431,4.47946096,4.471564061,0.9923393376,98.88271505,88.09854491,23.32076149,0.4821486826,99.05677576,0.174060709,0.5,0,0,9.555858004,2779
df2021,deepfense_w2v2_aasist_s2,sar,0,0,0.3,0,disjoint_eval,380435,0.9722659587,4.486310886,4.485575626,0.9923055876,98.88864064,88.08492853,23.35323666,0.4769062733,99.06002339,0.1713827592,0.5,0,0,9.57167453,2713
df2021,deepfense_w2v2_aasist_s2,shot,0,0,0.3,0,available_pool,400435,0.9721902431,6.347686964,6.374827159,0.9725132012,77.63856806,87.9542684,1.122485632,22.96897757,97.36012087,19.72155281,0.5,0,0,2.461073582,6973
df2021,deepfense_w2v2_aasist_s2,shot,0,0,0.3,0,disjoint_eval,380435,0.9722659587,6.345020489,6.326116158,0.9724651986,77.62771564,87.94232616,1.137332954,22.97801473,97.36170436,19.73398872,0.5,0,0,2.456135739,6878
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,available_pool,400435,0.9721902431,4.513105473,4.510073589,0.9923184435,98.86573351,88.28171755,22.92564655,0.510918343,99.06701462,0.2012811068,0.5,0,0,9.824066328,2762
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,disjoint_eval,380435,0.9722659587,4.515640066,4.51519485,0.9922868153,98.87313207,88.27491258,22.94569235,0.5044824864,99.07053767,0.1974056015,0.5,0,0,9.848988658,2693
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0,available_pool,400435,0.9721902431,4.513105473,4.510073589,0.9923184435,98.86573351,88.28171755,22.92564655,0.510918343,99.06701462,0.2012811068,0.5,0,0,9.824066328,2762
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0,disjoint_eval,380435,0.9722659587,4.515640066,4.51519485,0.9922868153,98.87313207,88.27491258,22.94569235,0.5044824864,99.07053767,0.1974056015,0.5,0,0,9.848988658,2693
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.05,0,available_pool,400435,0.9721902431,4.513105473,4.510073589,0.9923184435,98.86573351,88.28171755,22.92564655,0.510918343,99.06701462,0.2012811068,0.5,0,0,9.824066328,2762
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.05,0,disjoint_eval,380435,0.9722659587,4.515640066,4.51519485,0.9922868153,98.87313207,88.27491258,22.94569235,0.5044824864,99.07053767,0.1974056015,0.5,0,0,9.848988658,2693
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.1,0,available_pool,400435,0.9721902431,4.513105473,4.510073589,0.9923184435,98.86573351,88.28171755,22.92564655,0.510918343,99.06701462,0.2012811068,0.5,0,0,9.824066328,2762
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.1,0,disjoint_eval,380435,0.9722659587,4.515640066,4.51519485,0.9922868153,98.87313207,88.27491258,22.94569235,0.5044824864,99.07053767,0.1974056015,0.5,0,0,9.848988658,2693
df2021,deepfense_w2v2_aasist_s2,source,1,50000,0.3,0,available_pool,50000,0.9723,4.569598292,4.564813567,0.9918525095,98.84,88.07502847,23.32129964,0.5286434228,99.05,0.21,0.5,0,0,9.734,1068
df2021,deepfense_w2v2_aasist_s2,source,1,50000,0.3,0,disjoint_eval,30000,0.9719333333,4.400533677,4.398946749,0.9925485833,98.83333333,87.98163141,23.51543943,0.521297757,99.04333333,0.21,0.5,0,0,9.663333333,823
df2021,deepfense_w2v2_aasist_s2,source,2,50000,0.3,0,available_pool,50000,0.9723,4.569598292,4.564813567,0.9918525095,98.84,88.07502847,23.32129964,0.5286434228,99.05,0.21,0.5,0,0,9.734,1068
